NL,EN
blijkt,turns out
bijzonder,special
huid,skin
krachten,forces
zakken,to fail
openen,to open
arts,doctor
hoer,whore
gestoord,disturbed
scott,scot
gegeten,ate
echtgenoot,husband
bedoeling,intention
durf,dare
trouw,fidelity
bedenken,think about
ergste,worst
bedacht,suspicious
tegenhouden,to prevent
vermoordde,killed
nachts,night
vertrokken,left
knul,kid
engels,English
start,Start
favoriete,favourite
persoonlijke,personal
bepaalde,particular
sommigen,some
yeah,yeah
momentje,just hold on
medische,medical
sexy,sexy
burgemeester,mayor
lee,lee
officier,officer
kussen,To kiss
date,date
ster,star
gezocht,sought
captain,captain
wezen,being
roep,call
details,details
zomer,summer
dikke,thick
ruikt,smells
eigenaar,owner
motor,engine
universiteit,university
hielp,helped
kus,kiss
luistert,listen
gegevens,data
claire,claire
beveiliging,security
nagedacht,thought
lisa,Lisa
gekozen,chosen
betaalt,pays
betekenen,mean
verborgen,hidden
publiek,public
carrière,career
tanden,teeth
amy,Amy
rapport,report
super,super
vrije,free
geheimen,secrets
opeens,suddenly
beest,beast
afgesproken,agreed to meet
halve,half
rijdt,drives
belangrijkste,main
kamp,camp
leef,living
washington,Washington
steun,support
afdeling,department
honderd,hundred
vorig,last
rook,smoke
boel,lot
vecht,Vecht
strand,beach
jason,Jason
magie,magic
oplossing,solution
type,type
rusten,rest
droeg,wore
wellicht,perhaps
beelden,images
genaamd,called
terugkomen,coming back
voeren,feed
waardeer,appreciate
nauwelijks,barely
bad,bath
bieden,offer
geïnteresseerd,interested
verlaat,leaves
duivel,devil
overkomen,come across
speelde,played
pond,lb
ballen,ball
duizenden,thousands
gedoe,soil
city,City
nerveus,nervous
locatie,Location
blik,look
doelwit,target
gekke,silly
meegemaakt,experienced
twintig,twenty
emily,Emily
klant,customer
kerels,guy
loog,lye
post,post
aangevallen,attacked
oren,ear
emma,Emma
springen,to jump
gevolgd,followed
releases,releases
lach,smile
ontmoette,met
zwak,weak
engeland,England
ziekte,disease
sterren,stars
kyle,kyle
trekt,pulls
toilet,toilet
steen,stone
logisch,logically
landen,Nations
geloofde,believed
fouten,faults
verwachten,to expect
leo,leo
dankbaar,satisfying
veroorzaakt,causes
duizend,thousand
wow,wow
aangedaan,affected
andy,Andy
jury,jury
verslaan,defeat
vangen,to catch
christus,Christ
maria,Mary
testen,to test
grens,border
paniek,panic
nogmaals,once again
telefoontje,phone
steken,stiches
jesse,Jesse
pete,pete
ontsnapt,Escaped
herinnert,remember
paarden,horses
vaders,fathers
theorie,theory
kleur,color
prins,Prince
vissen,fishing
bron,source
lid,member
drank,drink
vergadering,meeting
gebleven,remained
meerdere,multiple
ondanks,despite
machine,machine
moeders,mothers
signaal,signal
geslapen,slept
lijden,suffering
stappen,to step
carter,carter
eeuwig,eternal
vreselijke,terrible
km,km
matt,matt
doodde,kill
dik,fat
verkoop,sale
rechtbank,court of law
harde,tough
genezen,cured
begrafenis,funeral
veld,field
straf,punishment
uitgenodigd,invited
laag,low
grace,Grace
kies,molar
wiens,whose
william,William
schattig,cute
dr.,Dr.
schot,shot
vijanden,enemies
neuken,fuck
broers,brothers
jagen,to hunt
tevreden,satisfied
gaven,give
taart,pie
domme,stupid
flat,flat
manieren,manners
afmaken,finish up
vriendelijk,friendly
san,san
sterker,stronger
vluchten,to flee
pers,press
project,project
st,stem
vertrekt,leaves
belang,interest
frankrijk,France
lukken,work
geschoten,shot
prinses,princess
zwaard,sword
aandoen,to put on
arthur,Arthur
annie,Annie
makkelijker,easier
gedragen,to behave
bende,gang
ernstig,serious
gezond,healthy
jouwe,yours
vingers,fingers
las,weld
arresteren,to arrest
tuin,garden
ideeën,ideas
korte,short
gelaten,resistant
sean,Sean
duitse,German
vrijdag,Friday
opstaan,rise
kunst,art
sterke,strong
afscheid,goodbye
menselijke,human
minister,minister
clark,clark
coach,coach
verboden,forbidden
kelder,cellar
gezelschap,company
bijvoorbeeld,for example
achtergelaten,abandoned
duur,expensive
compleet,completely
to,to
eng,scary
toeval,chance
snapt,gets
hiervan,thus
miljoenen,millions
simon,Simon
jerry,Jerry
war,war
melk,milk
kelly,Kelly
lui,lazy
genieten,to enjoy
aannemen,take
uitstekend,excellent
tegenover,opposite
dichterbij,closer
chicago,chicago
kocht,bought
stuurt,steering
volle,full
schijnt,appears
lenen,to lend
moed,courage
alice,Alice
vergissing,mistake
patiënten,patient
toon,tone
normale,normal
broeder,brother
kaarten,Cards
films,films
reizen,to travel
ruim,roomy
herinneringen,memories
gedachte,thought
saai,boring
joey,Joey
roken,to smoke
truck,truck
gaaf,great
tegenwoordig,nowadays
kwestie,matter
zette,set
opzij,sidewalk
gaande,going on
omgeving,environment
kip,chicken
verstopt,constipated
leerde,learned
vanochtend,this morning
kast,closet
officieel,officially
aanbod,offer
sms,text message
vernietigd,destroyed
verliest,loses
menselijk,human
contract,contract
lady,lady
mooiste,most beautiful
flink,considerable
majesteit,majesty
cia,C.I.A
carl,Carl
sukkel,softy
stopte,stopped
haalde,gathered
verdiend,earned
genoegen,pleasure
senator,senator
buren,neighbors
alan,Alan
internet,internet
vloer,floor
zwemmen,swimming
taylor,Taylor
bedoeld,meant
opgesloten,locked up
ontslag,dismissal
bekijk,look at
borst,chest
schreeuwen,shout
bevalt,pleases
hoger,higher
blanke,White person
redenen,reasons
harder,harder
ed,Ed
ontvoerd,abducted
vasthouden,to hold
dave,Dave
lucy,Lucy
behandelen,to treat
berg,mountain
noorden,north
opgeven,to report
bepaald,certain
spelletje,game
maatje,Buddy
daardoor,thereby
omstandigheden,circumstances
opgelost,dissolved
heus,real
koken,Cook
vingerafdrukken,fingerprints
trut,bitch
eenvoudig,simple
hiervoor,for this
stukken,pieces
tent,tent
pauze,pause
raden,to guess
roepen,call
leugenaar,liar
bek,beak
vervangen,to replace
alarm,alarm
interesse,interest
talent,talent
bereikt,reaches
amerikanen,Americans
kanker,cancer
ted,ted
aangezien,as
beslissen,decide
des,des
rose,rose
cadeau,gift
mexico,Mexico
kerst,Christmas
louis,Louis
invloed,influence
geheugen,memory
station,station
doorheen,through
vogel,bird
verantwoordelijkheid,responsibility
pillen,pills
rome,Rome
diner,dinner
besluit,decision
vlug,rapid
deuren,doors
woonde,lived
west,west
huh,huh
verstand,mind
moeilijke,difficult
juffrouw,lady
bescherming,protection
quality,quality
stilte,Silence
bak,bin
papier,paper
erom,about
volledige,sufficient
zojuist,just now
kilo,kilo
chuck,chuck
vormen,forms
vaarwel,farewell
storm,storm
hoed,hat
leugen,lie
ambulance,ambulance
opgenomen,Hospitalized
beslist,specifically
pizza,Pizza
verdween,disappeared
ontdekken,to discover
eenheid,unit
verzoek,request
overtuigen,convince
militaire,military
kogels,bullets
toegeven,to admit
smith,smith
gedronken,drunk
high,high
quantity,quantity
gekeken,looked
phil,Phil
cent,penny
punten,points
reet,ass
garage,garage
vrees,fear
big,pig
kluis,safe
slaapkamer,bedroom
vandoor,off
wit,white
bezoeken,visits
politiek,politics
mogelijkheid,opportunity
vertrok,departure
jackson,Jackson
verdomd,damn
vervelend,annoying
vs,US
rekenen,to calculate
klap,hole
aanbieden,offer
abby,abby
streek,region
zaterdag,Saturday
uwe,yours
zicht,view
jones,Jones
elf,eleven
gewend,accustomed
reactie,response
jazeker,"Yes, of course"
blauw,blue
herken,to recognise
verbonden,connected
reken,calculation
schoonheid,beauty
ho,hor
hank,hank
klus,job
verandering,change
vermoordt,killed
accepteren,accept
biertje,beer
roger,Roger
helen,heal
gebouwd,built
aankomen,arrive
trok,pulled
larry,Larry
verhuizen,moving away
waarde,where the
troep,rubbish
kust,coast
graf,grave
dans,dance
verdediging,defense
bleek,pale
taal,language
grotere,greater
dier,animal
aanklacht,indictment
overheid,government
wed,waving
lossen,unload
huizen,houses
uiteraard,naturally
gerust,restless
manager,manager
verdedigen,to defend
valse,false
lieten,let
westen,West
amper,barely
bekeken,Viewed
stal,stable
job,Job
maakten,made
niveau,level
binnenkomen,enter
poging,attempt
behandeld,treated
overtuigd,convinced
gewacht,waited
stroom,flow
wetenschap,science
momenteel,currently
wauw,Wow
liedje,song
vals,false
vincent,Vincent
onderzocht,investigated
duurde,lasted
lily,Lily
josh,Josh
keel,throat
schepen,ships
gouden,golden
blind,blind
achterlaten,leave behind
gevangene,prisoner
robin,Robin
voordeel,benefit
gevangenen,prison
eieren,Eggs
verbrand,burnt
geduld,patience
eeuw,century
europa,Europe
gescheiden,divorced
snelheid,speed
aardige,nicely
gary,gary
rotzooi,mess
heette,was called
brak,broke
lichamen,bodies
bidden,to pray
natuur,nature
maggie,maggia
wijs,show
buik,belly
vinger,finger
king,king
gespeeld,played
feiten,facts
virus,virus
ha,ha
jeff,Jeff
plus,plus
groene,green
bomen,trees
personeel,staff
patrick,Patrick
karen,pile
pakt,grabs
plekken,spots
commissaris,Commissioner
sara,Sara
zuiden,south
rechten,right
veranderde,changed
stof,dust
badkamer,bathroom
leugens,lies
zondag,Sunday
erheen,there
smaak,taste
aanwezig,present
leraar,teacher
maandag,Monday
verliet,left
leefde,lived
it,IT
pakte,grabbed
franse,French
bergen,mountains
duitsers,Germans
woede,fury
studeren,to study
sliep,slept
kleding,clothing
stonden,stood
troepen,troop
eindigen,end
feite,feite
hemelsnaam,heaven's sake
groeien,grow
dean,Dean
piloot,pilot
geesten,ghost
controleer,check
verslag,report
ex,ex
julia,Julia
heks,witch
daarbij,thereby
waarschuwen,warn
julie,Julie
victor,Victor
jenny,Jenny
melden,report
elizabeth,Elizabeth
oceaan,ocean
gas,gas
goden,gods
mogelijke,possible
voorlopig,for the time being
verslagen,defeated
gepland,planned
verdacht,suspicious
opgepakt,picked up
susan,Susan
privé,privately
voren,forward
stan,stan
knappe,cleverly
koffer,Suitcase
zonde,shame
naakt,naked
neen,no
plegen,commit
excuus,excuse
verrast,surprised
dienen,serve
graden,degree
ongelofelijk,incredible
haten,hate
ervandoor,run
opgewonden,agitated
sterf,die
dubbele,double
tim,Tim
boerderij,farm
rijke,rich
morgan,morgan
bord,plate
honderden,hundreds
klootzakken,bastards
herstellen,to recover
schrijft,writes
wc,WC
ernaar,to it
lord,Lord
besloot,decided
behandeling,therapy
morgenochtend,tomorrow morning
doc,doctrine
orders,orders
tong,tongue
hitler,Hitler
vanmiddag,this afternoon
redt,saves
ruil,exchange
nathan,Nathan
verklaren,to declare
lieg,lie
kim,Kim
sync,sync
leert,learns
tegelijk,at the same time
marine,navy
champagne,Champagne
liefste,Dear
genade,grace
chauffeur,driver
wensen,wishes
verdien,earn
qoq,QoQ
godverdomme,Goddamnit
eenzaam,lonely
wegens,due to
voorstel,proposal
gouverneur,governor
graven,to dig
terrein,grounds
ontmoeting,meeting
telt,counts
handel,trade
zwijgen,silence
ademen,to breathe
koos,koos
um,um
horloge,watch
staten,states
ronde,round
daarover,about that
verloofde,fiancé
pot,pot
donkere,dark
afspraakje,date
pensioen,pension
vrolijk,cheerful
poort,gate
hoefde,needed
gunst,favor
artikel,article
overval,anywhere
belangrijker,more important
netjes,decently
knieën,knees
slimme,smart
aanraken,touch
reputatie,reputation
ontdekte,discover
ruik,smell
brood,bread
russische,Russian
vogels,birds
partij,side
verstoppen,to hide
komst,arrival
verdieping,floor
dief,thief
voorbeeld,sample
geur,odor
dichter,poet
vliegveld,airport
markt,market
burgers,citizens
centrum,Centre
volgde,follow the
ontzettend,horrible
beer,bear
alibi,alibi
terugkomt,returns
brieven,letters
minstens,at least
whisky,whiskey
onschuldige,innocent
stenen,stone
universum,universe
gezondheid,health
daarheen,there
wijze,wise
britse,British
b,b
komende,up
kerstmis,Christmas
haven,port
huur,rent
plicht,duty
assistent,assistant
omgaan,To hang out
ross,ross
fan,fan
materiaal,material
laura,Laura
hartelijk,warmly
doug,Doug
charlotte,Charlotte
online,online
onszelf,ourselves
stelde,suggest
shirt,shirt
sally,Sally
bevelen,command
vergat,forgotten
priester,priest
meent,believes
zelfde,same
dossiers,files
proost,cheers
kloppen,to knock
gekend,known
vierde,fourth
kaas,cheese
opzoeken,to look up
schrikken,to startle
amanda,Amanda
gepleegd,committed
daarin,in there
optreden,performance
Apr-36,Apr-36
veilige,safe
marcus,Marcus
beroep,profession
black,black
motief,motive
molly,Molly
betaalde,paid
lucas,Lucas
verderop,beyond
jacht,hunt
scheiden,divorce
jeugd,youth
lokale,local
engel,angel
kerstman,Santa Claus
doei,bye
toestand,status
technologie,technology
gebaseerd,based
lichten,lights
mars,Mars
bovendien,moreover
cijfers,Numbers
bewaren,keep
belofte,promise
vertaald,translated
teleurgesteld,disappointed
vriendschap,friendship
medelijden,pity
fred,Fred
chloe,chloe
ramp,disaster
vegas,vegas
ren,run
verzet,resists
richten,to target
steunen,supports
wolf,Wolf
advocaten,lawyers
dwars,thwarted
oefenen,to practise
bezwaar,objection
bevestigen,to confirm
wijzen,ways
china,China
nachtmerrie,nightmare
jackie,Jackie
groen,green
minst,least
eindigt,ends
verkoopt,sells
zwembad,swimming pool
verdriet,sorrow
winter,winter
afgesloten,locked
geheel,whole
min,minus
verwijderd,deleted
donder,Thunder
mobiel,mobile
monsters,samples
okee,okay
interesseert,interested
leden,members
gooide,threw
muren,walls
koers,course
nat,wet
bekende,known person
waarheen,where to
hierin,in here
uniform,uniform
voorbereid,prepared
wild,wild
regen,rain
drinkt,drinks
studenten,students
bepalen,determine
briefje,note
fuck,fuck
berichten,messages
gok,gamble
voldoende,Enough
samenwerken,collaborate
lekkere,tasty
ruiken,to smell
klok,clock
duitsland,Germany
gemeenschap,community
redelijk,reasonable
wezens,beings
echter,however
getekend,signed
overwinning,victory
rebecca,rebecca
klonk,sounded
onderwerp,topic
verklaart,explains
olie,oil
bewust,consciously
bemanning,crew
tellen,to count
degenen,the ones
overkomt,happens
vertrouwt,trust
hang,halt
tyler,tyler
schoten,shot
seconde,second
geldt,applies
delict,crime
gibbs,gibbs
groeten,regards
maag,stomach
beantwoorden,reply
allerlei,all kinds of
wandelen,to walk
howard,Howard
waarschuwing,warning
gewaarschuwd,warned
begreep,understood
johnson,Johnson
kist,chest
barry,Barry
middelbare,middle
jay,Jay
michelle,Michelle
training,training
texas,Texas
pik,cock
race,race
geliefde,lover
nationale,national
gedeelte,section
wassen,Wash
verwachtte,expected
scheelt,saves
ophangen,hang up
douche,shower
greg,greeg
reageren,react
zwijg,be silent
alcohol,alcohol
stoor,interference
verdiende,deserved
gave,gift
sprong,plunge
bewakers,guards
aangenomen,accepted
model,fashion model
data,dates
oor,ear
hi,Hi
jeetje,Oh dear
spelletjes,games
noch,nor
wedden,bet
meedoen,participate
winst,gain
gereed,ready
middag,afternoon
lijf,body
oliver,Oliver
donna,Donna
onthouden,to remember
daarop,thereon
identiteit,identity
crimineel,criminal
openbaar,public
verpesten,to bully
moordenaars,murderers
bewaker,guardian
andrew,Andrew
beloofde,promised
gods,God
zowel,both
media,media
angela,Angela
letten,look
breekt,breaks
sprake,talk
kansen,chances
explosie,explosion
indrukwekkend,impressive
plotseling,suddenly
schutter,shooter
hekel,dislike
fort,fort
ingewikkeld,complicated
lied,song
vriendinnen,girlfriends
besef,realize
spiegel,mirror
gevochten,fought
lege,empty
onlangs,recently
stand,stand
woestijn,desert
gedwongen,forced
russen,Russians
jamie,jamie
idioten,idiots
gezellig,cozy
lunchen,having lunch
hielden,kept
cooper,shard
seizoen,season
resultaten,Results
pagina,page
frans,French
vlieg,fly
bril,glasses
spannend,exciting
doodt,kills
mensheid,humanity
botten,bone
busje,van
herinnering,memory
olivia,Olivia
kaartje,card
pop,dolly
verschuldigd,owed
gesteld,faulty
hee,hey
tweeën,two
zielig,pathetic
my,mine
terry,terry
parker,parker
hal,hall
letterlijk,literally
banden,tyres
route,route
vliegt,flies
walgelijk,disgusting
gegooid,thrown
smerig,filthy
verwijderen,remove
uitzien,look
beweegt,Moves
hierover,here
mannetje,male
genie,genius
burger,civilian
bedreiging,threat
lef,gut
wilson,Wilson
vlakbij,near
gevolgen,implications
gedag,goodbye
ontslaan,fire
nummers,numbers
verzamelen,collect
jongeman,young man
huiswerk,Homework
house,house
koude,cold
verontschuldigen,to apologize
gevaarlijke,dangerous
lelijk,ugly
verbaasd,suprised
vuil,filthy
ondertussen,meanwhile
gelukkige,happy
leest,is reading
at,ate
cole,Cole
verplaatsen,move
starten,start
gerechtigheid,justice
onderdeel,element
wijst,wage
rick,Rick
ls,LS
afrika,Africa
scheiding,parting
lewis,Lewis
linda,Linda
nate,nate
welnee,no
partners,partners
hoogste,high
snijden,to cut
soorten,types
touw,rope
zijde,silk
ellende,trouble
harvey,Harvey
nep,fake
joden,Jew
klagen,complain
zacht,soft
aap,monkey
won,won
dringend,urgently
teruggaan,going back
eisen,requirements
veroordeeld,convicted
neerschieten,shoot down
vloek,curse
stijl,style
smeek,grubbing
rand,edge
verrader,traitor
tel,count
romantisch,romantic
zorgde,took care
gordon,gordon
stelletje,bunch of
hersens,brain
verdwijnt,disappears
middelen,resources
roept,calls
bruce,bruce
leveren,to deliver
dekking,coverage
onthoud,Remember
hof,court
toby,Toby
politieke,political
cheque,check
schaduw,shadow
kasteel,castle
lagen,lay
dertig,thirty
branden,to burn
leidde,led
resultaat,result
catherine,Catherine
aangekomen,arrived
constant,constantly
hannah,Hannah
waarbij,whereby
wanhopig,in despair
verkracht,rap
jessica,Jessica
winnaar,winner
waardeloos,worthless
merken,brands
californië,California
brown,brown
doctor,doctor
ongerust,worried
snelle,fast
slet,slut
fiets,bicycle
vocht,moisture
opruimen,to clean up
chief,chief
ethan,ethan
daaraan,there
gsm,mobile
gewild,wanted
overeenkomst,agreement
spring,jump
schilderij,painting
middernacht,midnight
brein,brain
richt,steering
onbekende,unknown
vervolgens,thereafter
iemands,someone's
fabriek,factory
geschikt,fit
ontspannen,relax
anne,anne
win,win
broertje,baby brother
gelopen,walked
davis,Davis
apparaat,device
storen,to disturb
handelen,to trade
dwingen,force
optie,option
slang,snake
amen,Amen
student,student
hoorden,heard
opdagen,show up
volkomen,completely
makker,companion
katie,katie
duisternis,darkness
briljant,brilliant
schouder,shoulder
miller,miller
godzijdank,thank God
lacht,laugh
dwaas,foolish
wachtte,waiting
mac,mac
verdrietig,sad
bereik,reach
gozer,guy
gezorgd,arranged
spion,spy
roy,Roy
wond,wound
campagne,campaign
boston,Boston
mogelijkheden,opportunities
dinsdag,Tuesday
lever,liver
avonds,night
weggegaan,gone away
verbinding,link
dek,deck
meegaan,go along
nieuwsgierig,curious
helder,bright
omlaag,down
borsten,breast
oosten,East
namelijk,namely
schande,shame
ondertiteling,subtitle
overeen,correspondence
kanten,lace
warme,warm
gewicht,weight
bedrijven,businesses
derek,the stretch
stront,shit
vet,Fat
geschenk,gift
negeren,ignore
goeds,good
justitie,justice
sneeuw,snow
aanklager,prosecutor
zand,sand
sport,sport
besefte,realized
versie,version
minste,least
hartaanval,heart attack
bo,bos
c,C
as,ash
illegaal,illegal
vertrouwde,trusted
voort,ahead
varken,pig
prettig,pleasant
jacob,Jacob
moge,may
donderdag,Thursday
straten,streets
hout,wood
bovenop,on top of
etentje,dinner
sindsdien,since
vaste,fixed
moeilijker,more difficult
merk,Brand
verdachten,suspect
durft,dares
opgegeven,gave up
weggaat,leave
truc,trick
frankie,Frankie
el,vlas
wegen,weigh
planten,plants
pen,pen
beth,beth
aanwezigheid,presence
stemming,mood
bravo,Bravo
overleefd,surviving
gedurende,during
magische,magical
levende,living
therapie,therapy
geplaatst,placed
grijp,grab
gericht,targeted
voorafging,preceded
duwen,Push
tip,tip
sociale,social
euh,uh
opeten,eat
daarbinnen,inside
beloning,reward
dapper,brave
concentreren,to concentrate
heleboel,a lot
beschikbaar,available
seksuele,sexual
bezorgen,deliver
koopt,buys
hek,fence
lois,Lois
bied,bidding
huidige,current
on,on
achterna,after
verenigde,United
golf,golf
café,Cafe
suiker,sugar
lippen,lip
zuurstof,oxygen
gevoelig,sensitive
herhaal,repeat
hmm,hmm
gras,grass
gekwetst,hurt
smerige,filthy
filmen,to film
daisy,Daisy
tunnel,tunnel
rock,rock
verstandig,wise
organisatie,organization
voorgoed,forever
families,families
betwijfel,doubt
meekomen,come along
geruchten,rumor
angeles,angeles
redde,rescue
doorbrengen,Spending time
puur,pure
stak,stuck
diamanten,diamonds
lading,cargo
miami,Miami
bevestigd,confirmed
stinkt,smelly
inclusief,including
oudere,older
verraad,treason
interview,interview
middel,resourse
geboorte,birth
nicht,niece
momenten,moments
podium,stage
effect,effect
vijftien,fifteen
houding,attitude
veroorzaken,cause
verpleegster,nurse
lig,lying
bibliotheek,library
schrijver,writer
beloven,to promise
identificeren,identify
hut,hut
goedenacht,good night
volgend,next
gecontroleerd,controlled
beroemd,famous
masker,mask
scherp,sharp
sophie,Sophie
trainen,train
kamers,Rooms
quinn,quinn
kampioen,champion
graaf,count
oscar,Oscar
oproep,call
carrie,carria
achterin,in the back
beters,better
veroorloven,to afford
helikopter,helicopter
zekere,certain
gelegd,laid
miljard,billion
vies,dirty
geintje,joke
uitgaan,going out
weleens,sometimes
bruid,bride
voer,feed
praatte,talks
marshall,Marshall
aanwijzingen,Clues
nina,Nina
rusland,Russia
eva,Eva
benzine,gasoline
wegging,was removed
keizer,emperor
vrouwelijke,female
marie,Marie
vince,Vince
voeden,to feed
studio,studio
gif,poison
edward,Edward
uitnodiging,invitation
elena,Elena
grant,grant
probeerden,tried
datje,that you
ketting,chain
schitterend,splendid
velen,many
zekerheid,security
kliniek,clinic
dylan,Dylan
museum,museum
handtekening,signature
bevrijden,to free
ramen,Windows
russell,russell
rechtszaak,lawsuit
dokters,doctors
rijd,drive
kopie,copy